#Name: J/ApJ/746/169
#Title: Luminosity function of broad-line quasars (Shen+, 2012)
#Table J_ApJ_746_169_table4:
#Name: J/ApJ/746/169/table4
#Title: Model LF and BHMF
#---Details of Columns:
#    logM ([Msun])   (F6.3)  [6/11] True Black Hole mass of the bin [ucd=phys.mass]
#    logPhiMa ([-])  (F7.3)  [-18.85/-4.28] Median BHMF for all BHs log{Phi}o (in Mpc^-3^logMsun^-1^ units) [ucd=phys.luminosity.fun]
#    ElogPhiMa ([-]) (F7.3)  The 84% percentile BHMF for logPhiMa log{Phi}+ (in Mpc^-3^logMsun^-1^ units) [ucd=stat.error]
#    elogPhiMa ([-]) (F7.3)  The 16% percentile BHMF for logPhiMa log{Phi}- (in Mpc^-3^logMsun^-1^ units) [ucd=stat.error]
# ------ ------- ------- -------
# l              E       e            ogM ([ logPhiM logPhiM logPhiM
# ogM ([ logPhiM logPhiM logPhiM
# Msun]) a ([-]) a ([-]) a ([-])
# ------ ------- ------- -------
  6.000 -13.813 -11.517 -14.908
  6.025 -13.601 -11.395 -14.670
  6.050 -13.390 -11.271 -14.437
  6.075 -13.182 -11.143 -14.205
  6.100 -12.974 -11.004 -13.975
  6.125 -12.768 -10.862 -13.748
  6.150 -12.565 -10.726 -13.524
  6.175 -12.363 -10.591 -13.302
  6.200 -12.164 -10.454 -13.083
  6.225 -11.967 -10.317 -12.866
  6.250 -11.774 -10.182 -12.653
  6.275 -11.582 -10.048 -12.441
  6.300 -11.394  -9.925 -12.232
  6.325 -11.207  -9.807 -12.026
  6.350 -11.023  -9.684 -11.822
  6.375 -10.842  -9.567 -11.622
  6.400 -10.663  -9.446 -11.424
  6.425 -10.485  -9.326 -11.228
  6.450 -10.310  -9.204 -11.036
  6.475 -10.138  -9.080 -10.847
  6.500  -9.968  -8.953 -10.660
  6.525  -9.800  -8.827 -10.477
  6.550  -9.635  -8.701 -10.296
  6.575  -9.473  -8.575 -10.118
  6.600  -9.312  -8.451  -9.942
  6.625  -9.155  -8.329  -9.771
  6.650  -8.999  -8.207  -9.601
  6.675  -8.846  -8.088  -9.436
  6.700  -8.696  -7.971  -9.272
  6.725  -8.549  -7.858  -9.112
  6.750  -8.404  -7.744  -8.955
  6.775  -8.262  -7.632  -8.800
  6.800  -8.123  -7.522  -8.649
  6.825  -7.987  -7.413  -8.500
  6.850  -7.853  -7.307  -8.355
  6.875  -7.723  -7.202  -8.212
  6.900  -7.595  -7.099  -8.072
  6.925  -7.470  -6.998  -7.935
  6.950  -7.348  -6.899  -7.800
  6.975  -7.228  -6.802  -7.668
  7.000  -7.111  -6.706  -7.539
  7.025  -6.997  -6.611  -7.413
  7.050  -6.886  -6.520  -7.289
  7.075  -6.777  -6.430  -7.169
  7.100  -6.670  -6.342  -7.051
  7.125  -6.567  -6.256  -6.937
  7.150  -6.467  -6.171  -6.825
  7.175  -6.368  -6.089  -6.716
  7.200  -6.273  -6.008  -6.610
  7.225  -6.180  -5.929  -6.507
  7.250  -6.090  -5.851  -6.406
  7.275  -6.003  -5.775  -6.309
  7.300  -5.918  -5.701  -6.214
  7.325  -5.837  -5.629  -6.122
  7.350  -5.758  -5.559  -6.034
  7.375  -5.681  -5.492  -5.948
  7.400  -5.608  -5.426  -5.865
  7.425  -5.537  -5.363  -5.784
  7.450  -5.469  -5.303  -5.707
  7.475  -5.404  -5.244  -5.632
  7.500  -5.341  -5.188  -5.561
  7.525  -5.282  -5.135  -5.492
  7.550  -5.224  -5.083  -5.426
  7.575  -5.170  -5.034  -5.364
  7.600  -5.118  -4.988  -5.304
  7.625  -5.069  -4.944  -5.247
  7.650  -5.023  -4.903  -5.192
  7.675  -4.979  -4.864  -5.141
  7.700  -4.939  -4.827  -5.093
  7.725  -4.900  -4.793  -5.047
  7.750  -4.865  -4.762  -5.005
  7.775  -4.832  -4.733  -4.965
  7.800  -4.802  -4.707  -4.929
  7.825  -4.774  -4.683  -4.895
  7.850  -4.749  -4.662  -4.864
  7.875  -4.727  -4.644  -4.837
  7.900  -4.708  -4.628  -4.812
  7.925  -4.691  -4.615  -4.790
  7.950  -4.677  -4.605  -4.772
  7.975  -4.665  -4.597  -4.755
  8.000  -4.657  -4.591  -4.742
  8.025  -4.650  -4.588  -4.733
  8.050  -4.647  -4.588  -4.725
  8.075  -4.646  -4.590  -4.721
  8.100  -4.648  -4.595  -4.720
  8.125  -4.653  -4.602  -4.722
  8.150  -4.661  -4.612  -4.727
  8.175  -4.671  -4.624  -4.735
  8.200  -4.684  -4.638  -4.746
  8.225  -4.700  -4.654  -4.759
  8.250  -4.719  -4.673  -4.776
  8.275  -4.740  -4.694  -4.796
  8.300  -4.763  -4.718  -4.818
  8.325  -4.790  -4.744  -4.844
  8.350  -4.819  -4.772  -4.872
  8.375  -4.850  -4.802  -4.903
  8.400  -4.883  -4.835  -4.937
  8.425  -4.919  -4.869  -4.974
  8.450  -4.958  -4.907  -5.013
  8.475  -4.999  -4.946  -5.055
  8.500  -5.042  -4.987  -5.099
  8.525  -5.087  -5.031  -5.146
  8.550  -5.134  -5.076  -5.195
  8.575  -5.184  -5.123  -5.246
  8.600  -5.235  -5.173  -5.299
  8.625  -5.288  -5.224  -5.354
  8.650  -5.342  -5.276  -5.411
  8.675  -5.398  -5.331  -5.469
  8.700  -5.456  -5.386  -5.528
  8.725  -5.515  -5.443  -5.588
  8.750  -5.574  -5.501  -5.649
  8.775  -5.635  -5.560  -5.711
  8.800  -5.695  -5.620  -5.773
  8.825  -5.756  -5.680  -5.835
  8.850  -5.817  -5.740  -5.897
  8.875  -5.877  -5.800  -5.959
  8.900  -5.937  -5.860  -6.019
  8.925  -5.996  -5.919  -6.079
  8.950  -6.054  -5.978  -6.137
  8.975  -6.111  -6.035  -6.194
  9.000  -6.167  -6.091  -6.250
  9.025  -6.221  -6.147  -6.304
  9.050  -6.275  -6.201  -6.358
  9.075  -6.328  -6.255  -6.410
  9.100  -6.379  -6.307  -6.461
  9.125  -6.430  -6.358  -6.511
  9.150  -6.480  -6.409  -6.561
  9.175  -6.530  -6.460  -6.610
  9.200  -6.580  -6.510  -6.660
  9.225  -6.630  -6.561  -6.710
  9.250  -6.680  -6.611  -6.760
  9.275  -6.730  -6.662  -6.811
  9.300  -6.782  -6.713  -6.862
  9.325  -6.834  -6.765  -6.915
  9.350  -6.887  -6.818  -6.969
  9.375  -6.942  -6.871  -7.025
  9.400  -6.997  -6.926  -7.082
  9.425  -7.055  -6.981  -7.140
  9.450  -7.113  -7.038  -7.200
  9.475  -7.173  -7.096  -7.262
  9.500  -7.236  -7.156  -7.327
  9.525  -7.299  -7.217  -7.393
  9.550  -7.365  -7.279  -7.461
  9.575  -7.432  -7.343  -7.532
  9.600  -7.500  -7.408  -7.605
  9.625  -7.571  -7.475  -7.680
  9.650  -7.644  -7.543  -7.758
  9.675  -7.719  -7.612  -7.838
  9.700  -7.795  -7.682  -7.921
  9.725  -7.873  -7.754  -8.005
  9.750  -7.953  -7.828  -8.093
  9.775  -8.036  -7.902  -8.183
  9.800  -8.120  -7.979  -8.275
  9.825  -8.206  -8.057  -8.370
  9.850  -8.295  -8.136  -8.468
  9.875  -8.385  -8.216  -8.568
  9.900  -8.477  -8.298  -8.671
  9.925  -8.572  -8.381  -8.776
  9.950  -8.668  -8.466  -8.883
  9.975  -8.767  -8.552  -8.994
 10.000  -8.867  -8.639  -9.106
 10.025  -8.970  -8.727  -9.222
 10.050  -9.074  -8.817  -9.339
 10.075  -9.181  -8.909  -9.460
 10.100  -9.289  -9.002  -9.583
 10.125  -9.399  -9.095  -9.709
 10.150  -9.511  -9.190  -9.837
 10.175  -9.625  -9.287  -9.968
 10.200  -9.742  -9.385 -10.102
 10.225  -9.860  -9.485 -10.238
 10.250  -9.980  -9.587 -10.376
 10.275 -10.103  -9.689 -10.517
 10.300 -10.228  -9.793 -10.660
 10.325 -10.354  -9.898 -10.807
 10.350 -10.482 -10.005 -10.956
 10.375 -10.612 -10.113 -11.108
 10.400 -10.744 -10.223 -11.262
 10.425 -10.878 -10.333 -11.419
 10.450 -11.014 -10.446 -11.579
 10.475 -11.151 -10.560 -11.740
 10.500 -11.291 -10.675 -11.905
 10.525 -11.433 -10.792 -12.071
 10.550 -11.576 -10.910 -12.241
 10.575 -11.721 -11.029 -12.413
 10.600 -11.868 -11.150 -12.588
 10.625 -12.016 -11.272 -12.765
 10.650 -12.167 -11.395 -12.944
 10.675 -12.320 -11.520 -13.126
