#M_UV phi_6 err_6
-19.855 7.499e-04 1.691e-04
-19.515 1.094e-03 1.958e-04
-19.175 1.576e-03 2.259e-04
-18.835 2.250e-03 2.738e-04
-18.495 3.179e-03 3.755e-04
-18.155 4.446e-03 5.814e-04
-17.815 6.159e-03 9.436e-04
-17.475 8.451e-03 1.498e-03
-17.135 1.146e-02 2.330e-03
-16.795 1.538e-02 3.463e-03
-16.455 2.034e-02 4.973e-03
-16.115 2.662e-02 6.985e-03
-15.775 3.423e-02 9.576e-03
-15.435 4.330e-02 1.288e-02
-15.095 5.375e-02 1.747e-02
-14.755 6.558e-02 2.398e-02
-14.415 7.816e-02 3.287e-02
-14.075 9.170e-02 4.516e-02
-13.735 1.059e-01 6.091e-02
-13.395 1.208e-01 8.096e-02
-13.055 1.367e-01 1.049e-01
-12.715 1.532e-01 1.327e-01
-12.375 1.703e-01 1.652e-01
-12.035 1.905e-01 2.021e-01
-11.695 2.077e-01 2.393e-01
-11.355 2.287e-01 2.802e-01
-11.015 2.435e-01 3.160e-01
-10.675 2.559e-01 3.494e-01
-10.335 2.643e-01 3.764e-01
