# SMF of Bell+ (2003) (g-band derived, all galaxies SMF)
# N.B. This uses a diet Salpeter IMF.  To convert to standard Salpeter we must multiply M by (1/0.7).
# Columns are separated by 4 spaces
# log10(M)    phi    phi-1sigma    phi+1sigma
8.562500000    0.06664960    0.04054025    0.09275895
8.687500000    0.05689971    0.04741650    0.06638292
8.812500000    0.05448799    0.04729374    0.06168223
8.937500000    0.04905388    0.04069966    0.05740809
9.062500000    0.05156574    0.04582560    0.05730589
9.187500000    0.03628779    0.03213231    0.04044327
9.312500000    0.03091385    0.02760618    0.03422151
9.437500000    0.03505070    0.03232289    0.03777852
9.562500000    0.02434584    0.02207005    0.02662162
9.687500000    0.02410126    0.02213126    0.02607127
9.812500000    0.02372717    0.02223408    0.02522025
9.937500000    0.02164138    0.02065524    0.02262751
10.06250000    0.01989880    0.01888289    0.02091471
10.18750000    0.01735126    0.01639350    0.01830902
10.31250000    0.01658590    0.01601997    0.01715183
10.43750000    0.01505819    0.01458073    0.01553564
10.56250000    0.01328138    0.01272975    0.01383300
10.68750000    0.01004992    0.00967919    0.01042065
10.81250000    0.00671732    0.00643520    0.00699945
10.93750000    0.00378346    0.00361952    0.00394741
11.06250000    0.00188091    0.00172461    0.00203720
11.18750000    0.00081191    0.00073394    0.00088989
11.31250000    0.00033904    0.00030360    0.00037447
11.43750000    0.00011441    0.00009194    0.00013689
