# SMF of Cole+ 2001 (Table 4 Salpeter IMF)
# Columns are separated by 4 spaces
# log10(M)    phi    Delta(phi)
9.06    1.37e-2    1.05e-2
9.16    2.41e-2    1.35e-2
9.26    2.06e-2    1.13e-2
9.36    3.01e-2    1.13e-2
9.46    3.25e-2    0.92e-2
9.56    2.87e-2    0.67e-2
9.66    3.10e-2    0.56e-2
9.76    3.30e-2    0.47e-2
9.86    2.67e-2    0.34e-2
9.96    2.51e-2    0.27e-2
10.06    2.03e-2    0.20e-2
10.16    1.93e-2    0.17e-2
10.26    1.86e-2    0.15e-2
10.36    1.62e-2    0.11e-2
10.46    1.49e-2    0.09e-2
10.56    1.61e-2    0.08e-2
10.66    1.30e-2    0.06e-2
10.76    1.06e-2    0.04e-2
10.86    7.40e-3    0.30e-3
10.96    5.50e-3    0.22e-3
11.06    3.29e-3    0.15e-3
11.16    2.02e-3    0.10e-3
11.26    1.13e-3    0.07e-3
11.36    5.56e-4    0.40e-4
11.46    2.90e-4    0.26e-4
11.56    9.87e-5    1.26e-5
11.66    3.73e-5    0.66e-5
