#log(mass)      Phi         Phi_up      Phi_low 
       8.798    0.007625    0.008908    0.006517
       8.936     0.01123     0.01853    0.006762
       9.136    0.006068     0.00789     0.00466
       9.336     0.00383    0.004505    0.003255
       9.536    0.002747    0.003011    0.002507
       9.736    0.001535    0.001666    0.001415
       9.936    0.001083    0.001179   0.0009952
       10.14   0.0007158   0.0007965   0.0006432
       10.34   0.0004266   0.0004888   0.0003723
       10.54   0.0002919   0.0003451   0.0002467
       10.74   0.0001392   0.0001776   0.0001089
       10.94   6.287e-05   8.894e-05   4.409e-05
       11.14   4.041e-05   6.511e-05   2.472e-05
       11.34   1.347e-05   3.148e-05   5.311e-06
       11.74   4.491e-06   1.566e-05   7.446e-07
