#log(mass)      Phi         Phi_up      Phi_low
        9.07      0.0056     0.00662     0.00473
        9.27    0.002394    0.002659    0.002153
       9.323    0.001509    0.002917   0.0007525
       9.523     0.00144    0.001978    0.001047
       9.723   0.0008539    0.001036   0.0007031
       9.923   0.0007073   0.0008232   0.0006074
       10.12   0.0004901   0.0005702   0.0004211
       10.32   0.0002331   0.0002841    0.000191
       10.52    0.000175   0.0002226   0.0001374
       10.72   7.995e-05   0.0001133   5.607e-05
       10.92   4.497e-05   7.421e-05   2.688e-05
       11.12   2.498e-05   5.154e-05   1.172e-05
       11.32   9.994e-06    2.72e-05   3.121e-06
       11.52   4.997e-06   1.819e-05   8.041e-07
       11.72   4.997e-06   1.789e-05   8.137e-07
