#log(mass)      Phi         Phi_up      Phi_low
       9.059    0.002867     0.00418    0.001931
       9.259    0.002141    0.002674    0.001707
       9.501    0.001698    0.003279   0.0008483
       9.701   0.0005601   0.0007664    0.000408
       9.901   0.0004357   0.0005608   0.0003378
        10.1   0.0002358   0.0003011   0.0001843
        10.3   0.0001475   0.0001962   0.0001105
        10.5   4.524e-05   7.233e-05   2.777e-05
        10.7   2.234e-05   4.521e-05   1.046e-05
        10.9   1.117e-05   3.016e-05   3.513e-06
