69  32  59  39  5  4
37  17  32  11  2  2
1.4  0.8  2.0  0.45  0.01  0.17
55  33  80  25  7  7
27  12  23  24  10  10
2.4  1.4  3.5  0.044  0.022  0.044
0.46  0.28  0.68  1.4  0.3  0.9
1.0  0.6  1.5  0.73  0  0
19  9  16  9  0.8  0.9
23  10  19  58  3.5  3.5
0.61  0.36  0.89  0.1  0.05  0.1
4.6  2.7  6.6  8.3  1.3  2.7
11  5  9  0.39  0.09  0.26
1.9  1.1  2.7  0.42  0.04  0.04
4.5  2.7  6.6  0.084  0.003  0.003
1.4  0.8  2.1  0.66  0.03  0.03
0.66  0.4  0.97  0.73  0.35  0.69
4.7  2.8  6.9  15  2  2
26  12  22  4.7  0.6  0.6
2.0  1.2  2.9  0.083  0.004  0.004
0.39  0.23  0.57  0.14  0.13  0.02
0.35  0.21  0.52  0.15  0.1  0.09
0.30  0.18  0.45  0.40  0.05  0.04
3.5  2.1  5.1  0.12  0.005  0.005
1.9  1.1  2.4  1.7  0.2  0.2
0.88  0.52  1.28  0.024  0.012  0.024
1.9  1.1  2.7  8.8  2.7  10.0
0.93  0.56  1.37  0.14  0.06  0.10
1.24  0.7  1.8  2.0  0.5  0.5
0.86  0.51  1.26  0.073  0.015  0.015
2.0  0.9  1.7  0.77  0.06  0.04
5.4  2.5  4.7  4.0  1.0  1.0
1.2  0.7  1.7  0.17  0.02  0.01
4.9  2.9  7.1  0.34  0.02  0.02
2.0  1.2  2.9  0.34  0.02  0.02
0.66  0.4  0.97  0.058  0.008  0.008
5.1  3.0  7.4  3.1  0.6  1.4
2.6  1.5  3.8  1.3  0.5  0.5
3.2  1.5  2.7  2.0  0.6  1.1
100  46  86  97  26  30
1.4  0.9  2.1  8.1  1.9  2.0
0.88  0.53  1.3  1.8  0.3  0.6
1.3  0.8  1.9  0.65  0.07  0.07
0.56  0.34  0.82  0.39  0.01  0.01
29  13  25  5  1  1
6.1  2.8  5.2  3.3  2.5  0.9
0.65  0.39  0.96  4.5  1.5  2.3
1  0.6  1.3  0.075  0.002  0.002
2.0  1.2  3.0  0.68  0.13  0.13
6.9  3.2  5.9  1.2  0.9  0.4
1.4  0.6  1.2  0.13  0.08  0.08
7.7  3.6  6.6  4.7  0.5  0.5
0.9  0.5  1.3  0.59  0.09  0.03
3.9  2.3  5.7  6.4  0.4  0.4
1.8  1.1  2.7  0.79  0.33  0.38
8.4  3.9  7.2  3.9  0.4  0.4
27  12  23  47  10  10
6.0  2.8  5.2  1.8  0.1  0.2
0.43  0.26  0.64  0.06  0.014  0.014
1.0  0.6  1.5  0.016  0.004  0.004
122  57  105  210  160  160
0.3  0.18  0.45  0.014  0.007  0.014
29  13  25  7.4  3.0  4.7
11  5  10  1.6  0.4  0.3
20  9  17  6.8  0.7  0.7
0.8  0.4  1.0  2.6  1.5  0.4
24  11  20  11  1  1
78  36  67  37  11  18
96  44  83  5.9  2  2
3.6  2.1  5.2  0.31  0.004  0.004
2.6  1.5  3.8  0.1  0.001  0.001
55  26  48  3.7  1.5  2.6
1.4  0.8  2.0  0.55  0.19  0.26
64  30  55  13  4  5
1.2  0.7  1.8  0.11  0.005  0.005
0.9  0.5  1.2  1.5  0.8  0.75
0.91  0.07  0.07  0.0426  0.0014  0.0014
