# Matsuoka et al. (2018), Table 4
# Redshift: 5.7 < z < 6.5
# Magnitude definition: M1450
# Phi convention: linear Phi in units of 1e-9 cMpc^-3 mag^-1 (equivalent to Gpc^-3 mag^-1)
# Note: The final two alternate rows in Table 4, obtained after excluding narrow-Lyalpha objects, are merged into the main file.
#
# M1450  Phi  Delta
 -22.000  16.2  16.2
 -22.750  14.4  6.4
 -23.250  8.5  3.2
 -23.750  8.3  2.6
 -24.250  6.6  2
 -24.750  7  1.7
 -25.250  4.6  1.2
 -25.750  1.33  0.6
 -26.250  0.9  0.32
 -26.750  0.58  0.17
 -27.500  0.242  0.061
 -29.000  0.0079  0.0079
