# The data format follows 
# Magnitude  Phi/Mpc^-3dex^-1 Errors/Mpc^-3dex^-1

# Errors can be ULLimits (meaning upper and lower limits)
# Errors can be LULimits (meaning lower and upper limits)
# Errors can be ULDeltas (meaning upper and lower 1sigma range)
# Errors can be LUDeltas (meaning lower and upper 1sigma range)
# Errors can be Delta    (meaning 1sigma range)

# MAG determines the band of original and output data
# If Log==1, Phi is in logarithm
# If HinPhi==1, the unit of Phi is h^3Mpc**-1dex**-1
# If Function==data, *.dat contains data
# If Function==Schechter, *.dat contains parameters of SchechterMagnitude function
# Schechter parameters: xmin, xmax, mag_star, alpha1, phi_star, alpha2

# Outdated data

#Name                         MAG          h        NormalizationOfPhi   Errors       Log     HinPhi   Type               Bibliographic
Hunt2004                      M1450        0.5      1                    ULLimits     0       0        data               2004ApJ...605..625H
Dijkstra2006                  LBsol2M1450  0.7      1e-15                None         0       0        dataULimit         2006MNRAS.372.1575D
Willott2010                   M1450        0.7      1.0                  ULLimits     0       0        data               2010AJ....139..906W
Gilkman2011_SDSS              M1450        0.7      1e-8                 ULDeltas     0       0        data               2011ApJ...728L..26G
Gilkman2011_NDWFS_DLS         M1450        0.7      1e-8                 ULDeltas     0       0        data               2011ApJ...728L..26G
Masters2012                   M1450        0.7      1e-7                 Delta        0       0        data               2012ApJ...755..169M
McGreer2013                   M1450        0.7      1e-9                 Delta        0       0        data               2013ApJ...768..105M
Shen2012                      M1450        0.7      1e-9                 Delta        0       0        data               2012ApJ...746..169S
Jiang2016                     M1450        0.7      1                    None         0       0        DoubleSchechter    2016ApJ...833..222J
Giallongo2015                 M1450        0.7      1                    ULLimits     1       0        data               2015A&A...578A..83G
Richards2005                  M1450        0.7      1                    ULLimits     1       0        data               2005MNRAS.360..839R
Qin2017_Tiamat                M1450        0.678    1.0                  LULimits     0       0        data_sim           2017MNRAS.472.2009Q
Qin2017_Tiamat125_HR          M1450        0.678    1.0                  LULimits     0       0        data_sim           2017MNRAS.472.2009Q
Giallongo2019                 M1450        0.7      1e-6                 ULDeltas     0       0        data               2019ApJ...884...19G
Kocevski2023                  M1450        0.7      1e-5                 ULLimits     0       0        data               2023arXiv230200012K
Harikane2023                  M1450        0.6766   1                    ULDeltas     0       0        data               2023arXiv230311946H
Harikane2023_ulimit           M1450        0.6766   1                    None         0       0        dataULimit         2023arXiv230311946H
Matthee2024                   M1450        0.7      1.0                  ULDeltas     1       0        data               2024ApJ...963..129M
Kokorev2024                   M1450        0.7      1.0                  Delta        1       0        data               2024ApJ...968...38K
Kokorev2024_ulimit            M1450        0.7      1.0                  None         1       0        dataULimit         2024ApJ...968...38K
Yang2016                      M1450        0.700    1e-9                 Delta        0       0        data               2016ApJ...829...33Y
McGreer2018                   M1450        0.700    1e-9                 Delta        0       0        data               2018AJ....155..131M
Kim2020                       M1450        0.700    1e-9                 Delta        0       0        data               2020ApJ...904..111K
Niida2020                     M1450        0.700    1e-8                 ULDeltas     0       0        data               2020ApJ...904...89N
Shin2022                      M1450        0.700    1e-9                 Delta        0       0        data               2022ApJ...937...32S
Matsuoka2018                  M1450        0.700    1e-9                 Delta        0       0        data               2018ApJ...869..150M
Schindler2023                 M1450        0.700    1e-9                 ULDeltas     0       0        data               2023ApJ...943...67S
Matsuoka2023                  M1450        0.700    1e-9                 Delta        0       0        data               2023ApJ...949L..42M
Wang2019                      M1450        0.700    1                    ULDeltas     1       0        data               2019ApJ...884...30W
Grazian2020                   M1450        0.700    1e-6                 ULDeltas     0       0        data               2020ApJ...897...94G
Greene2024                    M1450        0.700    1e-5                 Delta        0       0        data               2024ApJ...964...39G
Maiolino2023                  M1450        0.700    1                    ULDeltas     1       0        data               2024A&A...691A.145M
Scholtz2023                   M1450        0.700    1                    Delta        1       0        data               2025A&A...697A.175S
Taylor2025                    M1500        0.700    1e-6                 ULDeltas     0       0        data               2025ApJ...986..165T
Juodzbalis2026                MUV          0.674    1                    ULDeltas     1       0        data               2026MNRAS.546ag086J
