# Katsianis et al. 2014 star formation rate function converted from Bouwens et al. 2014
# Dust corrections follow Smit et al. 2012
# h = 0.7, Salpeter IMF
# logSFR         log(phi)         er
2.55604        -5.33724    0.434000
2.29238        -4.86012    0.289333
2.02871        -4.22330    0.100154
1.76505        -3.67448    0.0754783
1.50138        -3.21667    0.0493182
1.23772        -3.02338    0.0442427
0.974055       -2.62459    0.0319612
0.710391       -2.56200    0.0415067
0.446725       -2.25662    0.0382093
0.0800925      -2.03189    0.0580099
-0.319908      -1.76787     0.131019
-0.719908      -1.42237     0.163146
