# Katsianis et al. 2014 star formation rate function converted from Bouwens et al. 2014
# Dust corrections follow Smit et al. 2012
# h = 0.7, Salpeter IMF
# logSFR       log(phi)    er
2.12539      -5.03621     0.434000
1.86570      -4.29585     0.157818
1.60602      -3.87484     0.119724
1.34633      -3.55909     0.0868000
1.08665      -3.17289     0.0683699
0.826960     -2.86595     0.0659797
0.567274     -2.55120     0.0575352
0.244092     -2.40274     0.0756977
-0.155908     -1.87186    0.0966096
-0.555908     -1.66422    0.137295
