# Katsianis et al. 2014 star formation rate function converted from Van der burg et al. 2011
# Dust corrections follow Smit et al. 2012
# h = 0.7, Salpeter IMF
# logSFR         log(phi)         er
2.28710        -5.17609     0.434000
2.12890        -4.47712     0.130200
1.97071        -3.97197     0.0678125
1.81251        -3.66421     0.0667692
1.65431        -3.39434     0.0968430
1.49611         -3.10791    0.111282
1.33791         -2.93554    0.0760747
1.17971         -2.78339    0.0588623
1.02151         -2.62709    0.0245198
0.863315        -2.42674    0.0568103
0.705117        -2.32300    0.0191739
0.546918        -2.26654    0.0815086
0.388719        -2.21729    0.134566
