#RESOURCE=yCat_35210055
#Name: J/A+A/521/A55
#Title: The mass function of nearby black holes (Caramete+, 2010)
#Coosys G: galactic     
#Table J_A_A_521_A55_bh:
#Name: J/A+A/521/A55/bh
#Title: Catalog of the massive black hole used to construct the mass function
#---Details of Columns:
#    z             (F8.5)  [0/0.025] Redshift [ucd=src.redshift]
#    Mbh (MMsun)   (F8.3)  Black hole mass [ucd=phys.mass]
#    e_Mbh (MMsun) (F8.3)  Error on black hole mass [ucd=stat.error]
#-------- -------- --------
#         Mbh      e_Mbh   
#z        (MMsun)  (MMsun) 
#-------- -------- --------
 0.02242  375.408  187.704
 0.00409   40.683   20.341
 0.01895  145.146   72.573
 0.01800  225.543  112.771
 0.02015  448.961  224.480
 0.00484   50.260   25.130
 0.00572  537.252  268.626
 0.01858  116.450   58.225
 0.00853  268.459  134.230
 0.00453  122.845   61.423
 0.02010  142.021   71.010
 0.01423   64.212   32.106
 0.00415    6.859    3.430
 0.02189  173.700   86.850
 0.01697  250.639  125.320
 0.00745   29.668   14.834
 0.01756   94.653   47.327
 0.00936  136.213   68.106
 0.01804  871.903  435.951
 0.01808  231.066  115.533
 0.01628   97.766   48.883
 0.01991  410.829  205.414
 0.01931  217.915  108.957
 0.02041  222.888  111.444
 0.02100  182.975   91.487
 0.02321  368.384  184.192
 0.00579   64.349   32.175
 0.02004  887.121  443.561
 0.01758  208.772  104.386
 0.00325    7.367    3.683
 0.01892  177.929   88.964
 0.01920  241.429  120.715
 0.01933  144.170   72.085
 0.02127  186.864   93.432
 0.01826  182.529   91.264
 0.01253   81.290   40.645
 0.02172  161.729   80.864
 0.00629   83.409   41.704
 0.01967  242.585  121.292
 0.01208  111.759   55.879
 0.00548   21.482   10.741
 0.01660   88.688   44.344
 0.00617   12.036    6.018
 0.02160  147.033   73.516
 0.01838  161.352   80.676
 0.02313  188.968   94.484
 0.01576  131.961   65.980
 0.01905  166.734   83.367
 0.00910  152.711   76.356
 0.01137   54.987   27.494
 0.01852  370.178  185.089
 0.01983  242.470  121.235
 0.02032  262.590  131.295
 0.00848   46.172   23.086
 0.02321  280.407  140.203
 0.01826  140.715   70.358
 0.02309  338.999  169.499
 0.00647   48.633   24.316
 0.00905  230.295  115.148
 0.00601  617.672  308.836
 0.01745  137.461   68.730
 0.02030  130.852   65.426
 0.01702  132.498   66.249
 0.01525  163.439   81.719
 0.01916  229.887  114.944
 0.00768   50.855   25.428
 0.01785  111.882   55.941
 0.01540  147.532   73.766
 0.02042  178.625   89.312
 0.00775  139.364   69.682
 0.01555   76.951   38.476
 0.02020  136.020   68.010
 0.01640  264.083  132.041
 0.02160  152.818   76.409
 0.00903   98.776   49.388
 0.01979  121.368   60.684
 0.01963  244.809  122.405
 0.01762  167.090   83.545
 0.01954  171.990   85.995
 0.01037   85.208   42.604
 0.01913  124.743   62.372
 0.01301   78.429   39.214
 0.01886  404.871  202.436
 0.01912  220.602  110.301
 0.02021  168.830   84.415
 0.01798  132.793   66.396
 0.01190   53.498   26.749
 0.01956  130.015   65.007
 0.01116   46.540   23.270
 0.01984  186.183   93.091
 0.01938  207.186  103.593
 0.01619  540.342  270.171
 0.01949  680.787  340.394
 0.02025  214.068  107.034
 0.02432  574.145  287.073
 0.01863  170.674   85.337
 0.01581   84.946   42.473
 0.01821  148.919   74.460
 0.00630   68.266   34.133
 0.00566   13.441    6.721
 0.02234  166.891   83.445
 0.01774  120.753   60.377
 0.02003  304.595  152.298
 0.01956  244.789  122.395
 0.02006  440.879  220.440
 0.01615  351.711  175.856
 0.01482  318.775  159.387
 0.01281  233.930  116.965
 0.00877   91.388   45.694
 0.01732  243.856  121.928
 0.00882  144.220   72.110
 0.00902   34.120   17.060
 0.01542  128.525   64.262
 0.01745  134.781   67.390
 0.01902  116.184   58.092
 0.00573   97.004   48.502
 0.00654   17.077    8.538
 0.01865  225.157  112.578
 0.01768  130.348   65.174
 0.01704  158.848   79.424
 0.01914  111.866   55.933
 0.01818  382.282  191.141
 0.02108  225.469  112.735
 0.01971  253.126  126.563
 0.01785  176.285   88.143
 0.02008  707.763  353.882
 0.01711   89.401   44.700
 0.01608  184.917   92.458
 0.00919  129.544   64.772
 0.01119  136.247   68.123
 0.01678   87.666   43.833
 0.01671  215.594  107.797
 0.00943  127.024   63.512
 0.01877  172.154   86.077
 0.01915  149.048   74.524
 0.01619   78.043   39.022
 0.02351  403.649  201.824
 0.01988  188.317   94.158
 0.00757   31.257   15.629
 0.01836  362.806  181.403
 0.00838  282.268  141.134
 0.00833   97.787   48.893
 0.00844   26.834   13.417
 0.00919   67.927   33.963
 0.00868  228.837  114.419
 0.01863  109.097   54.549
 0.01914  706.109  353.054
 0.01909  214.751  107.376
 0.00831   53.516   26.758
 0.02342  763.260  381.630
 0.02383  232.293  116.146
 0.01918  117.279   58.640
 0.01986  426.594  213.297
 0.01789  422.293  211.147
 0.01473  226.577  113.289
 0.01852  131.366   65.683
 0.01355  176.120   88.060
 0.02024  184.663   92.332
 0.01335   60.047   30.023
 0.01305   68.193   34.097
 0.02303  410.605  205.303
 0.00516   12.502    6.251
 0.02206  260.951  130.476
 0.01955  210.449  105.225
 0.01665  316.575  158.288
 0.01454  287.831  143.915
 0.02451  226.663  113.331
 0.01989  153.049   76.525
 0.02134  288.922  144.461
 0.02320  187.570   93.785
 0.02367  269.425  134.712
 0.02044  458.344  229.172
 0.02235  343.983  171.991
 0.02179  139.310   69.655
 0.02334  159.309   79.655
 0.01949  333.845  166.923
 0.01040   36.108   18.054
 0.02336  349.539  174.770
 0.00609   38.088   19.044
 0.02178  166.044   83.022
 0.01980  182.849   91.425
 0.02308  549.821  274.911
 0.01336  189.819   94.910
 0.02283  175.973   87.987
 0.00886   24.398   12.199
 0.01261  123.470   61.735
 0.01974  151.446   75.723
 0.02381  203.848  101.924
 0.01955  188.140   94.070
 0.02065  340.876  170.438
 0.01993  121.588   60.794
 0.02448  878.639  439.319
 0.02385  183.639   91.819
 0.00594   11.302    5.651
 0.01970  189.810   94.905
 0.02340  190.275   95.138
 0.01958  275.981  137.991
 0.01952  246.902  123.451
 0.02009  228.652  114.326
 0.01282   70.549   35.275
 0.01811  201.362  100.681
 0.01810  120.642   60.321
 0.01343   62.414   31.207
 0.02379  178.931   89.466
 0.01773  137.897   68.949
 0.02390  249.826  124.913
 0.01757  241.423  120.711
 0.01726  243.512  121.756
 0.01857  277.429  138.714
 0.00522  290.183  145.091
 0.01404   60.577   30.288
 0.01805  197.169   98.584
 0.00655   60.053   30.026
 0.00522   46.071   23.036
 0.01157   69.240   34.620
 0.02345  180.000   90.000
 0.01180   90.204   45.102
 0.01090  356.058  178.029
 0.02286  176.112   88.056
 0.02330  540.271  270.135
 0.01937  143.733   71.867
 0.00618   37.629   18.815
 0.02156  269.032  134.516
 0.01970  140.506   70.253
 0.01104  113.983   56.992
 0.01590  188.902   94.451
 0.01640  118.078   59.039
 0.01497  222.347  111.173
 0.01488  159.439   79.719
 0.02478  589.916  294.958
 0.02295  209.756  104.878
 0.01918  305.085  152.542
 0.01527   76.294   38.147
 0.02342  294.858  147.429
 0.01129  141.086   70.543
 0.02170  323.674  161.837
 0.01041   73.625   36.812
 0.02252  273.382  136.691
 0.01570  111.743   55.872
 0.01740  171.686   85.843
 0.01582  170.330   85.165
 0.01510   71.935   35.968
 0.02054  145.556   72.778
 0.01598  310.141  155.070
 0.02262  316.679  158.339
 0.00857   32.557   16.279
 0.02156  188.488   94.244
 0.01561  459.638  229.819
 0.01582   91.810   45.905
 0.02119  152.086   76.043
 0.02124  190.958   95.479
 0.02093  152.394   76.197
 0.01408  110.445   55.223
 0.01723  149.437   74.719
 0.01689  183.208   91.604
 0.02428  225.316  112.658
 0.01861  175.668   87.834
 0.01313   90.126   45.063
 0.01470  162.638   81.319
 0.01753   95.610   47.805
 0.00949   60.690   30.345
 0.01917  233.470  116.735
 0.01717  334.180  167.090
 0.01780  161.800   80.900
 0.01510  145.201   72.600
 0.01544   81.004   40.502
 0.01025   92.124   46.062
 0.01086  120.206   60.103
 0.02133  253.264  126.632
 0.02002  136.132   68.066
 0.00413   17.398    8.699
 0.01493   70.881   35.441
 0.01450   60.943   30.471
 0.00597   20.251   10.126
 0.00873   93.717   46.858
 0.02122  224.013  112.007
 0.01478  552.804  276.402
 0.00922  115.571   57.786
 0.01646  149.603   74.802
 0.01494  100.536   50.268
 0.01184   77.830   38.915
 0.00653   55.635   27.817
 0.01792  110.361   55.180
 0.01673  276.592  138.296
 0.02161  568.038  284.019
 0.01624  131.405   65.703
 0.01521   91.885   45.943
 0.02054  197.380   98.690
 0.01483   82.700   41.350
 0.01500  296.621  148.310
 0.01462  122.547   61.274
 0.01444   77.115   38.558
 0.01609  194.264   97.132
 0.01514  105.303   52.651
 0.01433   68.369   34.185
 0.01428   85.315   42.658
 0.01948  232.077  116.038
 0.00879  220.428  110.214
 0.01519  118.122   59.061
 0.01114  425.993  212.996
 0.01793  101.321   50.661
 0.02035  322.023  161.012
 0.02095  383.285  191.642
 0.01772  126.827   63.414
 0.00813   32.884   16.442
 0.00412   17.504    8.752
 0.00961   51.117   25.558
 0.02072  262.593  131.297
 0.01239   46.536   23.268
 0.01437  166.311   83.155
 0.02108  196.176   98.088
 0.02372  424.102  212.051
 0.02041  212.494  106.247
 0.01910  250.333  125.166
 0.01770   94.294   47.147
 0.01447  102.500   51.250
 0.02055  246.174  123.087
 0.02036  148.174   74.087
 0.02232  152.539   76.270
 0.02206  278.742  139.371
 0.02180  256.625  128.313
 0.02049  171.441   85.720
 0.02394  343.989  171.995
 0.02268  226.900  113.450
 0.02428  171.322   85.661
 0.01757  127.125   63.562
 0.01641  112.478   56.239
 0.02084  243.977  121.989
 0.02054  466.127  233.063
 0.02072  521.837  260.918
 0.01440  341.611  170.805
 0.00980   89.038   44.519
 0.01506   91.708   45.854
 0.01065  250.592  125.296
 0.02062  172.875   86.438
 0.01036   80.289   40.144
 0.01301  155.552   77.776
 0.02017  188.470   94.235
 0.02373  178.852   89.426
 0.02203  143.884   71.942
 0.01933  119.891   59.945
 0.01884  112.743   56.371
 0.01266  167.416   83.708
 0.02076  357.342  178.671
 0.00895  102.762   51.381
 0.02139  160.048   80.024
 0.01807  160.125   80.062
 0.01890  463.926  231.963
 0.00872   61.139   30.570
 0.01830  226.070  113.035
 0.02055  171.338   85.669
 0.02305  347.839  173.920
 0.02308  160.734   80.367
 0.02138  382.648  191.324
 0.02065  270.544  135.272
 0.02012  323.904  161.952
 0.01021   52.947   26.473
 0.01314  119.540   59.770
 0.00840   74.294   37.147
 0.01954  142.617   71.308
 0.01906  346.553  173.277
 0.01377  112.734   56.367
 0.01623  189.705   94.852
 0.02064  199.239   99.620
 0.01449  284.777  142.388
 0.02059  261.378  130.689
 0.00907  149.147   74.574
 0.01798  161.480   80.740
 0.02164  157.363   78.681
 0.00931  140.901   70.450
 0.01043  113.581   56.791
 0.01423   68.420   34.210
 0.01771  373.401  186.701
 0.01082   75.774   37.887
 0.01002  140.884   70.442
 0.01884  270.700  135.350
 0.01023  153.843   76.922
 0.01683   85.320   42.660
 0.01759  210.225  105.113
 0.01959  136.350   68.175
 0.02185  211.685  105.842
 0.02217  246.877  123.438
 0.00796   81.866   40.933
 0.02212  377.359  188.679
 0.00725  124.711   62.355
 0.01806  126.541   63.270
 0.02119  169.812   84.906
 0.01272  137.435   68.718
 0.02380  172.243   86.121
 0.01067   55.111   27.556
 0.02438  265.372  132.686
 0.01816  323.871  161.935
 0.02476  328.268  164.134
 0.02325  260.426  130.213
 0.01091  512.805  256.402
 0.01025  147.836   73.918
 0.01436  242.928  121.464
 0.01716  151.173   75.587
 0.01688  248.193  124.097
 0.01655   92.999   46.500
 0.01267   95.252   47.626
 0.02218  297.079  148.539
 0.01237   61.554   30.777
 0.01269  157.269   78.634
 0.01405  388.770  194.385
 0.01257  110.050   55.025
 0.01626  255.326  127.663
 0.00902   52.233   26.117
 0.01106   72.847   36.424
 0.01286   66.008   33.004
 0.01329   77.121   38.560
 0.01313  497.337  248.669
 0.00930   32.556   16.278
 0.01736  247.849  123.924
 0.01789  199.416   99.708
 0.01428   64.723   32.362
 0.01736  259.380  129.690
 0.02456  812.341  406.170
 0.01419  257.459  128.729
 0.02369  464.427  232.214
 0.02187  340.883  170.442
 0.01614  380.724  190.362
 0.01997  168.081   84.040
 0.01914  354.434  177.217
 0.01578   84.936   42.468
 0.01188  170.854   85.427
 0.01588  104.410   52.205
 0.02267  163.175   81.587
 0.01584  139.546   69.773
 0.01853  385.549  192.774
 0.01720  138.164   69.082
 0.01357  173.737   86.868
 0.01695  197.325   98.663
 0.01149   90.700   45.350
 0.01077  110.903   55.451
 0.01634  173.918   86.959
 0.01045   82.827   41.413
 0.01938  200.553  100.277
 0.01981  245.772  122.886
 0.02446  176.865   88.433
 0.01557  150.946   75.473
 0.02483  392.899  196.450
 0.02411  273.745  136.872
 0.01703  116.015   58.008
 0.01943  111.498   55.749
 0.01358  163.653   81.826
 0.01482  266.615  133.307
 0.01829  111.162   55.581
 0.01383  126.468   63.234
 0.00904   83.973   41.987
 0.02179  170.696   85.348
 0.01333   78.207   39.103
 0.01425   78.922   39.461
 0.00979   32.731   16.365
 0.01424  205.017  102.509
 0.01413  501.732  250.866
 0.01015  123.272   61.636
 0.01578  158.863   79.431
 0.01561  111.339   55.670
 0.01473  166.582   83.291
 0.01829  406.654  203.327
 0.02289  427.491  213.746
 0.02030  158.690   79.345
 0.01410   81.701   40.850
 0.01830  116.332   58.166
 0.01816  160.040   80.020
 0.01305   94.829   47.415
 0.01454  143.448   71.724
 0.01541  171.403   85.701
 0.01404  153.417   76.709
 0.01342  332.069  166.034
 0.02072  132.216   66.108
 0.01280  118.541   59.270
 0.01478   77.439   38.720
 0.01570  507.274  253.637
 0.01521  135.355   67.678
 0.02142  177.397   88.698
 0.01519  134.946   67.473
 0.01554  139.609   69.804
 0.01148  207.895  103.948
 0.00860   42.725   21.363
 0.02331  351.062  175.531
 0.00672   30.450   15.225
 0.01491  199.975   99.988
 0.01493   70.687   35.344
 0.01386   64.880   32.440
 0.01508  166.184   83.092
 0.01533   89.764   44.882
 0.01502  255.580  127.790
 0.01562  264.244  132.122
 0.00895  103.618   51.809
 0.02132  145.012   72.506
 0.01484  351.949  175.975
 0.01327   87.524   43.762
 0.00974   96.406   48.203
 0.01666  122.189   61.095
 0.01062   63.792   31.896
 0.01170  156.399   78.199
 0.02303  183.242   91.621
 0.02091  140.998   70.499
 0.00564   16.526    8.263
 0.01510  151.625   75.813
 0.01244  173.531   86.766
 0.02371  212.767  106.383
 0.01518  270.745  135.372
 0.02166 1311.309  655.654
 0.02288  191.894   95.947
 0.01583   84.444   42.222
 0.02332  525.480  262.740
 0.01551  330.116  165.058
 0.02410 1249.567  624.783
 0.01587  111.797   55.899
 0.01991  124.539   62.269
 0.01565  128.307   64.153
 0.02282  192.301   96.150
 0.01638  120.534   60.267
 0.00591   12.179    6.090
 0.02369  310.254  155.127
 0.00985   49.826   24.913
 0.01961  151.476   75.738
 0.01298  420.408  210.204
 0.02211  188.956   94.478
 0.02269  218.541  109.271
 0.01055  256.921  128.460
 0.00943  125.025   62.512
 0.01628  174.562   87.281
 0.01769  195.455   97.728
 0.02392  176.449   88.224
 0.02433  188.784   94.392
 0.01070  102.008   51.004
 0.01663  102.323   51.161
 0.00714   14.799    7.399
 0.01624   84.572   42.286
 0.01133   50.481   25.240
 0.02279  281.418  140.709
 0.01659  176.495   88.248
 0.01568  101.371   50.685
 0.00779   54.194   27.097
 0.01409  173.858   86.929
 0.01362  154.841   77.421
 0.01897  297.798  148.899
 0.01290  323.220  161.610
 0.02160  234.043  117.022
 0.02442  381.568  190.784
 0.02413  370.007  185.004
 0.02483  280.376  140.188
 0.01416   67.744   33.872
 0.00297    6.006    3.003
 0.02214  330.082  165.041
 0.02307  446.820  223.410
 0.01695  330.696  165.348
 0.02120  131.300   65.650
 0.02309  159.546   79.773
 0.01230  304.454  152.227
 0.01444  215.041  107.521
 0.01492  193.000   96.500
 0.02248  242.996  121.498
 0.01157  104.979   52.490
 0.02350  400.106  200.053
 0.02348  282.251  141.126
 0.01301  125.799   62.899
 0.02005  128.289   64.145
 0.01509  129.290   64.645
 0.02130  200.236  100.118
 0.01317  325.457  162.728
 0.01498   83.255   41.628
 0.01657  542.107  271.054
 0.01463   71.845   35.922
 0.02019  242.831  121.415
 0.01822  511.961  255.980
 0.01072  291.747  145.873
 0.01658   80.245   40.123
 0.02282  292.864  146.432
 0.01493   71.275   35.638
 0.00946   30.133   15.067
 0.00121    0.674    0.337
 0.02437  187.761   93.881
 0.00954  117.439   58.719
 0.02444  555.499  277.750
 0.01041   48.109   24.054
 0.01521  144.635   72.318
 0.01610  118.831   59.416
 0.01277   81.791   40.895
 0.01550  250.557  125.279
 0.01227   74.476   37.238
 0.00965   62.523   31.262
 0.01447  393.862  196.931
 0.01566  176.127   88.064
 0.01622  305.198  152.599
 0.02442  377.243  188.621
 0.01843  105.937   52.969
 0.00308    5.816    2.908
 0.01991  319.594  159.797
 0.01917  230.692  115.346
 0.02476  252.632  126.316
 0.02467  231.562  115.781
 0.02183  293.018  146.509
 0.00873  130.322   65.161
 0.01898  193.641   96.820
 0.02338  177.006   88.503
 0.01923  499.356  249.678
 0.02112  202.869  101.435
 0.02190  242.144  121.072
 0.01538  150.081   75.041
 0.02457  226.825  113.413
 0.00744  313.593  156.797
 0.01623  274.358  137.179
 0.01793  264.634  132.317
 0.00625  112.182   56.091
 0.01634  717.757  358.878
 0.01017  235.599  117.799
 0.01253   76.248   38.124
 0.01795  149.509   74.755
 0.01925  246.973  123.486
 0.01830  153.898   76.949
 0.01891  271.212  135.606
 0.00838   76.747   38.373
 0.01842  353.271  176.636
 0.01962  156.887   78.443
 0.01926  206.967  103.483
 0.01146  231.544  115.772
 0.02351  182.812   91.406
 0.01036   39.492   19.746
 0.00643   23.809   11.904
 0.01212   62.857   31.428
 0.00623  210.331  105.165
 0.01654  111.059   55.529
 0.02078  264.847  132.424
 0.01806  102.512   51.256
 0.01027   98.690   49.345
 0.01903  139.786   69.893
