#Name: J/ApJ/746/169
#Title: Luminosity function of broad-line quasars (Shen+, 2012)
#Table J_ApJ_746_169_table4:
#Name: J/ApJ/746/169/table4
#Title: Model LF and BHMF
#---Details of Columns:
#    logM ([Msun])   (F6.3)  [6/11] True Black Hole mass of the bin [ucd=phys.mass]
#    logPhiMa ([-])  (F7.3)  [-18.85/-4.28] Median BHMF for all BHs log{Phi}o (in Mpc^-3^logMsun^-1^ units) [ucd=phys.luminosity.fun]
#    ElogPhiMa ([-]) (F7.3)  The 84% percentile BHMF for logPhiMa log{Phi}+ (in Mpc^-3^logMsun^-1^ units) [ucd=stat.error]
#    elogPhiMa ([-]) (F7.3)  The 16% percentile BHMF for logPhiMa log{Phi}- (in Mpc^-3^logMsun^-1^ units) [ucd=stat.error]
# ------ ------- ------- -------
# l              E       e            ogM ([ logPhiM logPhiM logPhiM
# ogM ([ logPhiM logPhiM logPhiM
# Msun]) a ([-]) a ([-]) a ([-])
# ------ ------- ------- -------
  6.000 -13.853 -11.927 -15.204
  6.025 -13.647 -11.783 -14.975
  6.050 -13.439 -11.637 -14.753
  6.075 -13.237 -11.488 -14.536
  6.100 -13.034 -11.355 -14.317
  6.125 -12.834 -11.213 -14.100
  6.150 -12.641 -11.061 -13.886
  6.175 -12.449 -10.916 -13.673
  6.200 -12.259 -10.769 -13.461
  6.225 -12.069 -10.627 -13.251
  6.250 -11.880 -10.483 -13.041
  6.275 -11.691 -10.336 -12.839
  6.300 -11.504 -10.200 -12.636
  6.325 -11.319 -10.066 -12.433
  6.350 -11.138  -9.924 -12.237
  6.375 -10.960  -9.784 -12.045
  6.400 -10.783  -9.641 -11.850
  6.425 -10.608  -9.497 -11.656
  6.450 -10.435  -9.349 -11.463
  6.475 -10.263  -9.204 -11.274
  6.500 -10.093  -9.059 -11.088
  6.525  -9.924  -8.919 -10.902
  6.550  -9.758  -8.780 -10.723
  6.575  -9.595  -8.643 -10.542
  6.600  -9.434  -8.509 -10.365
  6.625  -9.276  -8.378 -10.189
  6.650  -9.120  -8.248 -10.018
  6.675  -8.967  -8.120  -9.848
  6.700  -8.818  -7.993  -9.679
  6.725  -8.671  -7.867  -9.513
  6.750  -8.526  -7.745  -9.351
  6.775  -8.385  -7.624  -9.190
  6.800  -8.246  -7.505  -9.033
  6.825  -8.108  -7.389  -8.878
  6.850  -7.973  -7.274  -8.726
  6.875  -7.839  -7.158  -8.576
  6.900  -7.708  -7.046  -8.429
  6.925  -7.580  -6.934  -8.285
  6.950  -7.454  -6.826  -8.144
  6.975  -7.330  -6.719  -8.006
  7.000  -7.209  -6.615  -7.870
  7.025  -7.090  -6.512  -7.737
  7.050  -6.973  -6.411  -7.608
  7.075  -6.860  -6.312  -7.481
  7.100  -6.749  -6.214  -7.356
  7.125  -6.639  -6.119  -7.235
  7.150  -6.533  -6.027  -7.117
  7.175  -6.429  -5.937  -7.001
  7.200  -6.328  -5.849  -6.889
  7.225  -6.230  -5.764  -6.779
  7.250  -6.134  -5.681  -6.671
  7.275  -6.041  -5.601  -6.567
  7.300  -5.950  -5.523  -6.466
  7.325  -5.863  -5.447  -6.366
  7.350  -5.778  -5.373  -6.270
